ac|whois.nic.ac
ac.cn|whois.cnnic.net.cn
ac.jp|whois.nic.ad.jp
ac.uk|whois.ja.net
ad.jp|whois.nic.ad.jp
adm.br|whois.nic.br
adv.br|whois.nic.br
aero|whois.information.aero
ag|whois.nic.ag
agr.br|whois.nic.br
ah.cn|whois.cnnic.net.cn
al|whois.ripe.net
am|whois.amnic.net
am.br|whois.nic.br
arq.br|whois.nic.br
at|whois.nic.at
au|whois.aunic.net
art.br|whois.nic.br
as|whois.nic.as
asn.au|whois.aunic.net
ato.br|whois.nic.br
av.tr|whois.nic.tr
az|whois.ripe.net
ba|whois.ripe.net
be|whois.geektools.com
bg|whois.digsys.bg
bio.br|whois.nic.br
biz|whois.biz
biz.tr|whois.nic.tr
bj.cn|whois.cnnic.net.cn
bel.tr|whois.nic.tr
bmd.br|whois.nic.br
br|whois.registro.br
by|whois.ripe.net
ca|whois.cira.ca
cc|whois.nic.cc
cd|whois.cd
ch|whois.nic.ch
cim.br|whois.nic.br
ck|whois.ck-nic.org.ck
cl|whois.nic.cl
cn|whois.cnnic.net.cn
cng.br|whois.nic.br
cnt.br|whois.nic.br
com|whois.crsnic.net
com.au|whois.aunic.net
com.br|whois.nic.br
com.cn|whois.cnnic.net.cn
com.eg|whois.ripe.net
com.hk|whois.hknic.net.hk
com.mx|whois.nic.mx
com.tr|whois.nic.tr
com.ru|whois.ripn.ru
com.tw|whois.twnic.net
conf.au|whois.aunic.net
co|whois.nic.co
co.at|whois.nic.at
co.jp|whois.nic.ad.jp
co.uk|whois.nic.uk
co.za|coza-whois.registry.net.za
cq.cn|whois.cnnic.net.cn
csiro.au|whois.aunic.net
cx|whois.nic.cx
cy|whois.ripe.net
cz|whois.nic.cz
de|whois.denic.de
dr.tr|whois.nic.tr
dk|whois.dk-hostmaster.dk
dz|whois.ripe.net
ecn.br|whois.nic.br
ee|whois.eenet.ee
edu|whois.verisign-grs.net
edu|whois.crsnic.net
edu.au|whois.aunic.net
edu.br|whois.nic.br
edu.tr|whois.nic.tr
eg|whois.ripe.net
es|whois.ripe.net
esp.br|whois.nic.br
etc.br|whois.nic.br
eti.br|whois.nic.br
eun.eg|whois.ripe.net
eu|whois.registry.eu
emu.id.au|whois.aunic.net
eng.br|whois.nic.br
far.br|whois.nic.br
fi|whois.ripe.net
fj|whois.usp.ac.fj', ''),
fj.cn|whois.cnnic.net.cn
fm.br|whois.nic.br
fnd.br|whois.nic.br
fo|whois.ripe.net
fot.br|whois.nic.br
fst.br|whois.nic.br
fr|whois.nic.fr
gb|whois.ripe.net
gb.com|whois.nomination.net
gb.net|whois.nomination.net
g12.br|whois.nic.br
gd.cn|whois.cnnic.net.cn
ge|whois.ripe.net
gen.tr|whois.nic.tr
ggf.br|whois.nic.br
gl|whois.ripe.net
gr.jp|whois.nic.ad.jp
gs|whois.adamsnames.tc
gs.cn|whois.cnnic.net.cn
gov.au|whois.aunic.net
gov.br|whois.nic.br
gov.cn|whois.cnnic.net.cn
gov.hk|whois.hknic.net.hk
gov.tr|whois.nic.tr
gob.mx|whois.nic.mx
gs|whois.adamsnames.tc
gz.cn|whois.cnnic.net.cn
gx.cn|whois.cnnic.net.cn
he.cn|whois.cnnic.net.cn
ha.cn|whois.cnnic.net.cn
hb.cn|whois.cnnic.net.cn
hi.cn|whois.cnnic.net.cn
hl.cn|whois.cnnic.net.cn
hn.cn|whois.cnnic.net.cn
hm|whois.registry.hm
hk|whois.hknic.net.hk
hk.cn|whois.cnnic.net.cn
hu|whois.ripe.net
id.au|whois.aunic.net
ie|whois.domainregistry.ie
ind.br|whois.nic.br
imb.br|whois.nic.br
inf.br|whois.nic.br
info|whois.afilias.info
info.au|whois.aunic.net
info.tr|whois.nic.tr
it|whois.nic.it
idv.tw|whois.twnic.net
int|whois.iana.org
is|whois.isnic.is
il|whois.isoc.org.il
jl.cn|whois.cnnic.net.cn
jor.br|whois.nic.br
jp|whois.jprs.jp
js.cn|whois.cnnic.net.cn
jx.cn|whois.cnnic.net.cn
k12.tr|whois.nic.tr
ke|whois.rg.net
kr|whois.krnic.net
kz|whois.nic.kz
la|whois.nic.la
lel.br|whois.nic.br
li|whois.nic.ch
lk|whois.nic.lk
ln.cn|whois.cnnic.net.cn
lt|ns.litnet.lt
lu|whois.dns.lu
lv|whois.ripe.net
ltd.uk|whois.nic.uk
ma|whois.ripe.net
mat.br|whois.nic.br
mc|whois.ripe.net
md|whois.ripe.net
me.uk|whois.nic.uk
med.br|whois.nic.br
mil|whois.nic.mil
mil.br|whois.nic.br
mil.tr|whois.nic.tr
mk|whois.ripe.net
mn|whois.nic.mn
mo.cn|whois.cnnic.net.cn
ms|whois.adamsnames.tc
mt|whois.ripe.net
mus.br|whois.nic.br
mx|whois.nic.mx
name|whois.nic.name
name.tr|whois.nic.tr
ne.jp|whois.nic.ad.jp
net|whois.crsnic.net
net.au|whois.aunic.net
net.br|whois.nic.br
net.cn|whois.cnnic.net.cn
net.eg|whois.ripe.net
net.hk|whois.hknic.net.hk
net.lu|whois.dns.lu
net.mx|whois.nic.mx
net.uk|whois.nic.uk
net.ru|whois.ripn.ru
net.tr|whois.nic.tr
net.tw|whois.twnic.net
nl|whois.domain-registry.nl
nm.cn|whois.cnnic.net.cn
no|whois.norid.no
no.com|whois.nomination.net
nom.br|whois.nic.br
not.br|whois.nic.br
ntr.br|whois.nic.br
nu|whois.nic.nu
nx.cn|whois.cnnic.net.cn
nz|whois.domainz.net.nz
plc.uk|whois.nic.uk
odo.br|whois.nic.br
oop.br|whois.nic.br
or.jp|whois.nic.ad.jp
or.at|whois.nic.at
org|whois.pir.org
org.au|whois.aunic.net
org.br|whois.nic.br
org.cn|whois.cnnic.net.cn
org.hk|whois.hknic.net.hk
org.lu|whois.dns.lu
org.ru|whois.ripn.ru
org.tr|whois.nic.tr
org.tw|whois.twnic.net
org.uk|whois.nic.uk
pk|whois.pknic.net
pl|whois.ripe.net
pol.tr|whois.nic.tr
pp.ru|whois.ripn.ru
ppg.br|whois.nic.br
pro.br|whois.nic.br
psi.br|whois.nic.br
psc.br|whois.nic.br
pt|whois.ripe.net
qh.cn|whois.cnnic.net.cn
qsl.br|whois.nic.br
rec.br|whois.nic.br
ro|whois.ripe.net
ru|whois.ripn.ru
sc.cn|whois.cnnic.net.cn
sd.cn|whois.cnnic.net.cn
se|whois.nic-se.se
se.com|whois.nomination.net
se.net|whois.nomination.net
sg|whois.nic.net.sg
sh|whois.nic.sh
sh.cn|whois.cnnic.net.cn
si|whois.arnes.si
sk|whois.ripe.net
slg.br|whois.nic.br
sm|whois.ripe.net
sn.cn|whois.cnnic.net.cn
srv.br|whois.nic.br
st|whois.nic.st
su|whois.ripe.net
sx.cn|whois.cnnic.net.cn
tc|whois.adamsnames.tc
tel.tr|whois.nic.tr
th|whois.nic.uk
tj.cn|whois.cnnic.net.cn
tm|whois.nic.tm
tn|whois.ripe.net
tmp.br|whois.nic.br
to|whois.tonic.to
tr|whois.ripe.net
trd.br|whois.nic.br
tur.br|whois.nic.br
tv|whois.nic.tv
tv.br|whois.nic.br
tw|whois.twnic.net
tw.cn|whois.cnnic.net.cn
ua|whois.ripe.net
uk|whois.thnic.net
uk.com|whois.nomination.net
uk.net|whois.nomination.net
us|whois.nic.us
va|whois.ripe.net
vet.br|whois.nic.br
vg|whois.adamsnames.tc
wattle.id.au|whois.aunic.net
web.tr|whois.nic.tr
ws|whois.worldsite.ws
xj.cn|whois.cnnic.net.cn
xz.cn|whois.cnnic.net.cn
yn.cn|whois.cnnic.net.cn
yu|whois.ripe.net
za|whois.frd.ac.za
zlg.br|whois.nic.br
zj.cn|whois.cnnic.net.cn
gr|http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=%domainname%.%TLD%|HTTP
com.gr|http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=%domainname%.%TLD%|HTTP
net.gr|http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=%domainname%.%TLD%|HTTP
org.gr|http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=%domainname%.%TLD%|HTTP
edu.gr|http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=%domainname%.%TLD%|HTTP
gov.gr|http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=%domainname%.%TLD%|HTTP
in.na|epp.in.na
ws.na|epp.in.na
mobi.na|epp.in.na
tv.na|epp.in.na
na|swakop.omadhina.co.na
com.na|swakop.omadhina.co.na
org.na|swakop.omadhina.co.na
co.na|swakop.omadhina.co.na
edu.na|swakop.omadhina.co.na
alt.na|swakop.omadhina.co.na
net.na|swakop.omadhina.co.na
com.cc|production.epp.cocca.cx
biz.ki|production.epp.cocca.cx
com.sb|production.epp.cocca.cx
net.cc|production.epp.cocca.cx
com.ki|production.epp.cocca.cx
phone.ki|production.epp.cocca.cx
net.sb|production.epp.cocca.cx
cx|production.epp.cocca.cx
info.ki|production.epp.cocca.cx
let.ki|production.epp.cocca.cx
tl|production.epp.cocca.cx
gs|production.epp.cocca.cx
mobi.ki|production.epp.cocca.cx
mu|production.epp.cocca.cx
ki|production.epp.cocca.cx
net.ki|production.epp.cocca.cx
nf|production.epp.cocca.cx
ng|whois.nic.net.ng
com.ng|whois.nic.net.ng
edu.ng|whois.nic.net.ng
name.ng|whois.nic.net.ng
net.ng|whois.nic.net.ng
org.ng|whois.nic.net.ng
sch.ng|whois.nic.net.ng
gov.ng|whois.nic.net.ng
mil.ng|whois.nic.net.ng
